colour	x	xend	y	yend	showSelected1	PANEL
#999999	1452834000	1452920400	21.99	21.99	sensor day off	1
#666666	1460869200	1460955600	23.46	23.46	sensor work day	1
#999999	1468558800	1468645200	19.55	19.55	sensor day off	1
#999999	1469250000	1469336400	19.55	19.55	sensor day off	1
#999999	1480654800	1480741200	22.97	22.97	sensor day off	1
#999999	1481950800	1482037200	22.48	22.48	sensor day off	1
#666666	1482728400	1482814800	21.99	21.99	sensor work day	1
#999999	1483074000	1483160400	21.99	21.99	sensor day off	1
#999999	1484974800	1485061200	22.48	22.48	sensor day off	1
#666666	1487739600	1487826000	22.97	22.97	sensor work day	1
#999999	1490331600	1490418000	22.48	22.48	sensor day off	1
#999999	1493355600	1493442000	22.97	22.97	sensor day off	1
#999999	1503118800	1503205200	21.99	21.99	sensor day off	1
#999999	1509166800	1509253200	21.99	21.99	sensor day off	1
#999999	1509771600	1509858000	21.02	21.02	sensor day off	1
#999999	1511499600	1511586000	21.51	21.51	sensor day off	1
#999999	1512190800	1512277200	21.51	21.51	sensor day off	1
#666666	1514437200	1514523600	20.53	20.53	sensor work day	1
