colour	x	y	group	key	clickSelects	showSelected1	PANEL
#666666	0	24.0429310344828	1	Friday 01 Apr 2016	Friday 01 Apr 2016	Friday 01 Apr 2016	1
#666666	1	24.4185087719298	1	Friday 01 Apr 2016	Friday 01 Apr 2016	Friday 01 Apr 2016	1
#666666	2	23.6585344827586	1	Friday 01 Apr 2016	Friday 01 Apr 2016	Friday 01 Apr 2016	1
#666666	3	23.2966666666667	1	Friday 01 Apr 2016	Friday 01 Apr 2016	Friday 01 Apr 2016	1
#666666	4	23.4346551724138	1	Friday 01 Apr 2016	Friday 01 Apr 2016	Friday 01 Apr 2016	1
#666666	5	23.0559649122807	1	Friday 01 Apr 2016	Friday 01 Apr 2016	Friday 01 Apr 2016	1
#666666	6	23.2952586206897	1	Friday 01 Apr 2016	Friday 01 Apr 2016	Friday 01 Apr 2016	1
#666666	7	23.3009649122807	1	Friday 01 Apr 2016	Friday 01 Apr 2016	Friday 01 Apr 2016	1
#666666	8	23.5444827586207	1	Friday 01 Apr 2016	Friday 01 Apr 2016	Friday 01 Apr 2016	1
#666666	9	24.1047368421053	1	Friday 01 Apr 2016	Friday 01 Apr 2016	Friday 01 Apr 2016	1
#666666	10	24.9131034482759	1	Friday 01 Apr 2016	Friday 01 Apr 2016	Friday 01 Apr 2016	1
#666666	11	25.3811403508772	1	Friday 01 Apr 2016	Friday 01 Apr 2016	Friday 01 Apr 2016	1
#666666	12	25.4903448275862	1	Friday 01 Apr 2016	Friday 01 Apr 2016	Friday 01 Apr 2016	1
#666666	13	25.2351754385965	1	Friday 01 Apr 2016	Friday 01 Apr 2016	Friday 01 Apr 2016	1
#666666	14	24.8286206896552	1	Friday 01 Apr 2016	Friday 01 Apr 2016	Friday 01 Apr 2016	1
#666666	15	25.2136842105263	1	Friday 01 Apr 2016	Friday 01 Apr 2016	Friday 01 Apr 2016	1
#666666	16	25.2087931034483	1	Friday 01 Apr 2016	Friday 01 Apr 2016	Friday 01 Apr 2016	1
#666666	17	25.4828070175439	1	Friday 01 Apr 2016	Friday 01 Apr 2016	Friday 01 Apr 2016	1
#666666	18	24.321724137931	1	Friday 01 Apr 2016	Friday 01 Apr 2016	Friday 01 Apr 2016	1
#666666	19	23.7694736842105	1	Friday 01 Apr 2016	Friday 01 Apr 2016	Friday 01 Apr 2016	1
#666666	20	23.46	1	Friday 01 Apr 2016	Friday 01 Apr 2016	Friday 01 Apr 2016	1
#666666	21	23.4385087719298	1	Friday 01 Apr 2016	Friday 01 Apr 2016	Friday 01 Apr 2016	1
#666666	22	23.4431034482759	1	Friday 01 Apr 2016	Friday 01 Apr 2016	Friday 01 Apr 2016	1
#666666	23	24.0058771929825	1	Friday 01 Apr 2016	Friday 01 Apr 2016	Friday 01 Apr 2016	1
#666666	0	22.6475213675214	2	Friday 01 Dec 2017	Friday 01 Dec 2017	Friday 01 Dec 2017	1
#666666	1	22.0575862068966	2	Friday 01 Dec 2017	Friday 01 Dec 2017	Friday 01 Dec 2017	1
#666666	2	22.0772033898305	2	Friday 01 Dec 2017	Friday 01 Dec 2017	Friday 01 Dec 2017	1
#666666	3	22.4884482758621	2	Friday 01 Dec 2017	Friday 01 Dec 2017	Friday 01 Dec 2017	1
#666666	4	22.7899145299145	2	Friday 01 Dec 2017	Friday 01 Dec 2017	Friday 01 Dec 2017	1
#666666	5	22.97	2	Friday 01 Dec 2017	Friday 01 Dec 2017	Friday 01 Dec 2017	1
#666666	6	22.4327192982456	2	Friday 01 Dec 2017	Friday 01 Dec 2017	Friday 01 Dec 2017	1
#666666	7	21.9858620689655	2	Friday 01 Dec 2017	Friday 01 Dec 2017	Friday 01 Dec 2017	1
#666666	8	22.0419298245614	2	Friday 01 Dec 2017	Friday 01 Dec 2017	Friday 01 Dec 2017	1
#666666	9	22.6996551724138	2	Friday 01 Dec 2017	Friday 01 Dec 2017	Friday 01 Dec 2017	1
#666666	10	22.97	2	Friday 01 Dec 2017	Friday 01 Dec 2017	Friday 01 Dec 2017	1
#666666	11	23.1812068965517	2	Friday 01 Dec 2017	Friday 01 Dec 2017	Friday 01 Dec 2017	1
#666666	12	22.965701754386	2	Friday 01 Dec 2017	Friday 01 Dec 2017	Friday 01 Dec 2017	1
#666666	13	23.0249137931035	2	Friday 01 Dec 2017	Friday 01 Dec 2017	Friday 01 Dec 2017	1
#666666	14	23.4385087719298	2	Friday 01 Dec 2017	Friday 01 Dec 2017	Friday 01 Dec 2017	1
#666666	15	23.3811016949153	2	Friday 01 Dec 2017	Friday 01 Dec 2017	Friday 01 Dec 2017	1
#666666	16	22.965775862069	2	Friday 01 Dec 2017	Friday 01 Dec 2017	Friday 01 Dec 2017	1
#666666	17	22.8770689655172	2	Friday 01 Dec 2017	Friday 01 Dec 2017	Friday 01 Dec 2017	1
#666666	18	22.5132203389831	2	Friday 01 Dec 2017	Friday 01 Dec 2017	Friday 01 Dec 2017	1
#666666	19	22.4419827586207	2	Friday 01 Dec 2017	Friday 01 Dec 2017	Friday 01 Dec 2017	1
#666666	20	22.3678813559322	2	Friday 01 Dec 2017	Friday 01 Dec 2017	Friday 01 Dec 2017	1
#666666	21	22.1293965517241	2	Friday 01 Dec 2017	Friday 01 Dec 2017	Friday 01 Dec 2017	1
#666666	22	22.0315254237288	2	Friday 01 Dec 2017	Friday 01 Dec 2017	Friday 01 Dec 2017	1
#666666	23	22.48	2	Friday 01 Dec 2017	Friday 01 Dec 2017	Friday 01 Dec 2017	1
#999999	0	22.5100877192982	3	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	1
#999999	1	22.5727027027027	3	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	1
#999999	2	22.6913725490196	3	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	1
#999999	3	22.7646666666667	3	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	1
#999999	4	22.634	3	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	1
#999999	5	22.7970588235294	3	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	1
#999999	6	21.9890099009901	3	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	1
#999999	7	21.0442574257426	3	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	1
#999999	8	20.6586868686869	3	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	1
#999999	9	20.53	3	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	1
#999999	10	20.53	3	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	1
#999999	11	20.53	3	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	1
