x	y	label	clickSelects	showSelected1	PANEL	group
14	24.1781034482759	24.2	Monday 07 Dec 2015	Monday 07 Dec 2015	1	150
21	22.841052631579	22.8	Monday 07 Dec 2015	Monday 07 Dec 2015	1	150
0	23.95	23.9	Tuesday 08 Dec 2015	Tuesday 08 Dec 2015	1	647
1	23.95	23.9	Tuesday 08 Dec 2015	Tuesday 08 Dec 2015	1	647
2	23.95	23.9	Tuesday 08 Dec 2015	Tuesday 08 Dec 2015	1	647
3	23.95	23.9	Tuesday 08 Dec 2015	Tuesday 08 Dec 2015	1	647
4	23.95	23.9	Tuesday 08 Dec 2015	Tuesday 08 Dec 2015	1	647
5	23.95	23.9	Tuesday 08 Dec 2015	Tuesday 08 Dec 2015	1	647
22	22.4124137931035	22.4	Tuesday 08 Dec 2015	Tuesday 08 Dec 2015	1	647
14	24.1527586206897	24.2	Wednesday 09 Dec 2015	Wednesday 09 Dec 2015	1	775
22	21.9403448275862	21.9	Wednesday 09 Dec 2015	Wednesday 09 Dec 2015	1	775
15	24.4743859649123	24.5	Thursday 10 Dec 2015	Thursday 10 Dec 2015	1	532
21	22.600350877193	22.6	Thursday 10 Dec 2015	Thursday 10 Dec 2015	1	532
4	24.4315517241379	24.4	Friday 11 Dec 2015	Friday 11 Dec 2015	1	44
7	22.7121052631579	22.7	Friday 11 Dec 2015	Friday 11 Dec 2015	1	44
3	23.9585964912281	24.0	Saturday 12 Dec 2015	Saturday 12 Dec 2015	1	294
16	22.3955172413793	22.4	Saturday 12 Dec 2015	Saturday 12 Dec 2015	1	294
0	23.9584482758621	24.0	Sunday 13 Dec 2015	Sunday 13 Dec 2015	1	421
12	22.1251724137931	22.1	Sunday 13 Dec 2015	Sunday 13 Dec 2015	1	421
16	24.3724137931035	24.4	Monday 14 Dec 2015	Monday 14 Dec 2015	1	179
20	22.7841379310345	22.8	Monday 14 Dec 2015	Monday 14 Dec 2015	1	179
3	24.44	24.4	Tuesday 15 Dec 2015	Tuesday 15 Dec 2015	1	676
4	24.44	24.4	Tuesday 15 Dec 2015	Tuesday 15 Dec 2015	1	676
5	24.44	24.4	Tuesday 15 Dec 2015	Tuesday 15 Dec 2015	1	676
22	22.0998275862069	22.1	Tuesday 15 Dec 2015	Tuesday 15 Dec 2015	1	676
8	22.48	22.5	Wednesday 16 Dec 2015	Wednesday 16 Dec 2015	1	804
16	24.2287931034483	24.2	Wednesday 16 Dec 2015	Wednesday 16 Dec 2015	1	804
16	24.0039830508475	24.0	Thursday 17 Dec 2015	Thursday 17 Dec 2015	1	561
23	22.6182051282051	22.6	Thursday 17 Dec 2015	Thursday 17 Dec 2015	1	561
15	24.2264102564103	24.2	Friday 18 Dec 2015	Friday 18 Dec 2015	1	73
23	21.75	21.8	Friday 18 Dec 2015	Friday 18 Dec 2015	1	73
5	23.4778181818182	23.5	Saturday 19 Dec 2015	Saturday 19 Dec 2015	1	323
13	21.99	22.0	Saturday 19 Dec 2015	Saturday 19 Dec 2015	1	323
14	21.99	22.0	Saturday 19 Dec 2015	Saturday 19 Dec 2015	1	323
15	21.99	22.0	Saturday 19 Dec 2015	Saturday 19 Dec 2015	1	323
16	21.99	22.0	Saturday 19 Dec 2015	Saturday 19 Dec 2015	1	323
19	21.99	22.0	Saturday 19 Dec 2015	Saturday 19 Dec 2015	1	323
0	23.46	23.5	Sunday 20 Dec 2015	Sunday 20 Dec 2015	1	450
1	23.46	23.5	Sunday 20 Dec 2015	Sunday 20 Dec 2015	1	450
2	23.46	23.5	Sunday 20 Dec 2015	Sunday 20 Dec 2015	1	450
3	23.46	23.5	Sunday 20 Dec 2015	Sunday 20 Dec 2015	1	450
4	23.46	23.5	Sunday 20 Dec 2015	Sunday 20 Dec 2015	1	450
5	23.46	23.5	Sunday 20 Dec 2015	Sunday 20 Dec 2015	1	450
6	23.46	23.5	Sunday 20 Dec 2015	Sunday 20 Dec 2015	1	450
