x	y	label	key	clickSelects	showSelected1	PANEL	group
23	3	Monday 07 Dec 2015	Monday 07 Dec 2015	Monday 07 Dec 2015	Monday 07 Dec 2015	2	150
23	0.999999999999998	Tuesday 08 Dec 2015	Tuesday 08 Dec 2015	Tuesday 08 Dec 2015	Tuesday 08 Dec 2015	2	646
23	5	Wednesday 09 Dec 2015	Wednesday 09 Dec 2015	Wednesday 09 Dec 2015	Wednesday 09 Dec 2015	2	774
23	7	Thursday 10 Dec 2015	Thursday 10 Dec 2015	Thursday 10 Dec 2015	Thursday 10 Dec 2015	2	532
23	9	Friday 11 Dec 2015	Friday 11 Dec 2015	Friday 11 Dec 2015	Friday 11 Dec 2015	2	44
23	4	Saturday 12 Dec 2015	Saturday 12 Dec 2015	Saturday 12 Dec 2015	Saturday 12 Dec 2015	2	294
23	0.999999999999998	Sunday 13 Dec 2015	Sunday 13 Dec 2015	Sunday 13 Dec 2015	Sunday 13 Dec 2015	2	421
23	3	Monday 14 Dec 2015	Monday 14 Dec 2015	Monday 14 Dec 2015	Monday 14 Dec 2015	2	179
23	2	Tuesday 15 Dec 2015	Tuesday 15 Dec 2015	Tuesday 15 Dec 2015	Tuesday 15 Dec 2015	2	675
23	0.999999999999998	Wednesday 16 Dec 2015	Wednesday 16 Dec 2015	Wednesday 16 Dec 2015	Wednesday 16 Dec 2015	2	803
23	7	Thursday 17 Dec 2015	Thursday 17 Dec 2015	Thursday 17 Dec 2015	Thursday 17 Dec 2015	2	561
23	0.999999999999998	Friday 18 Dec 2015	Friday 18 Dec 2015	Friday 18 Dec 2015	Friday 18 Dec 2015	2	73
23	-4	Saturday 19 Dec 2015	Saturday 19 Dec 2015	Saturday 19 Dec 2015	Saturday 19 Dec 2015	2	323
23	0	Sunday 20 Dec 2015	Sunday 20 Dec 2015	Sunday 20 Dec 2015	Sunday 20 Dec 2015	2	450
23	4	Monday 21 Dec 2015	Monday 21 Dec 2015	Monday 21 Dec 2015	Monday 21 Dec 2015	2	208
23	0.999999999999998	Tuesday 22 Dec 2015	Tuesday 22 Dec 2015	Tuesday 22 Dec 2015	Tuesday 22 Dec 2015	2	704
23	9	Wednesday 23 Dec 2015	Wednesday 23 Dec 2015	Wednesday 23 Dec 2015	Wednesday 23 Dec 2015	2	832
23	7	Thursday 24 Dec 2015	Thursday 24 Dec 2015	Thursday 24 Dec 2015	Thursday 24 Dec 2015	2	589
23	2	Friday 25 Dec 2015	Friday 25 Dec 2015	Friday 25 Dec 2015	Friday 25 Dec 2015	2	101
23	2	Saturday 26 Dec 2015	Saturday 26 Dec 2015	Saturday 26 Dec 2015	Saturday 26 Dec 2015	2	351
