colour	x	y	key	group	clickSelects	showSelected1	PANEL
#8DD3C7	0	15	Friday 01 Apr 2016	1	Friday 01 Apr 2016	Friday 01 Apr 2016	2
#8DD3C7	1	16	Friday 01 Apr 2016	1	Friday 01 Apr 2016	Friday 01 Apr 2016	2
#8DD3C7	2	16.1111111111111	Friday 01 Apr 2016	1	Friday 01 Apr 2016	Friday 01 Apr 2016	2
#8DD3C7	2	16	Friday 01 Apr 2016	1	Friday 01 Apr 2016	Friday 01 Apr 2016	2
#8DD3C7	2	16	Friday 01 Apr 2016	1	Friday 01 Apr 2016	Friday 01 Apr 2016	2
#8DD3C7	3	14	Friday 01 Apr 2016	1	Friday 01 Apr 2016	Friday 01 Apr 2016	2
#8DD3C7	3	14	Friday 01 Apr 2016	1	Friday 01 Apr 2016	Friday 01 Apr 2016	2
#8DD3C7	4	14	Friday 01 Apr 2016	1	Friday 01 Apr 2016	Friday 01 Apr 2016	2
#8DD3C7	5	13	Friday 01 Apr 2016	1	Friday 01 Apr 2016	Friday 01 Apr 2016	2
#8DD3C7	5	13	Friday 01 Apr 2016	1	Friday 01 Apr 2016	Friday 01 Apr 2016	2
#8DD3C7	6	13	Friday 01 Apr 2016	1	Friday 01 Apr 2016	Friday 01 Apr 2016	2
#8DD3C7	7	13	Friday 01 Apr 2016	1	Friday 01 Apr 2016	Friday 01 Apr 2016	2
#8DD3C7	7	12	Friday 01 Apr 2016	1	Friday 01 Apr 2016	Friday 01 Apr 2016	2
#8DD3C7	8	12.2222222222222	Friday 01 Apr 2016	1	Friday 01 Apr 2016	Friday 01 Apr 2016	2
#8DD3C7	8	12	Friday 01 Apr 2016	1	Friday 01 Apr 2016	Friday 01 Apr 2016	2
#8DD3C7	8	12	Friday 01 Apr 2016	1	Friday 01 Apr 2016	Friday 01 Apr 2016	2
#8DD3C7	9	11	Friday 01 Apr 2016	1	Friday 01 Apr 2016	Friday 01 Apr 2016	2
#8DD3C7	10	11	Friday 01 Apr 2016	1	Friday 01 Apr 2016	Friday 01 Apr 2016	2
#8DD3C7	11	12	Friday 01 Apr 2016	1	Friday 01 Apr 2016	Friday 01 Apr 2016	2
#8DD3C7	12	14	Friday 01 Apr 2016	1	Friday 01 Apr 2016	Friday 01 Apr 2016	2
#8DD3C7	12	13	Friday 01 Apr 2016	1	Friday 01 Apr 2016	Friday 01 Apr 2016	2
#8DD3C7	13	13	Friday 01 Apr 2016	1	Friday 01 Apr 2016	Friday 01 Apr 2016	2
#8DD3C7	13	12	Friday 01 Apr 2016	1	Friday 01 Apr 2016	Friday 01 Apr 2016	2
#8DD3C7	14	13.8888888888889	Friday 01 Apr 2016	1	Friday 01 Apr 2016	Friday 01 Apr 2016	2
#8DD3C7	14	14	Friday 01 Apr 2016	1	Friday 01 Apr 2016	Friday 01 Apr 2016	2
#8DD3C7	15	12	Friday 01 Apr 2016	1	Friday 01 Apr 2016	Friday 01 Apr 2016	2
#8DD3C7	16	13	Friday 01 Apr 2016	1	Friday 01 Apr 2016	Friday 01 Apr 2016	2
#8DD3C7	17	11	Friday 01 Apr 2016	1	Friday 01 Apr 2016	Friday 01 Apr 2016	2
#8DD3C7	18	10	Friday 01 Apr 2016	1	Friday 01 Apr 2016	Friday 01 Apr 2016	2
#8DD3C7	19	8	Friday 01 Apr 2016	1	Friday 01 Apr 2016	Friday 01 Apr 2016	2
#8DD3C7	20	7.77777777777778	Friday 01 Apr 2016	1	Friday 01 Apr 2016	Friday 01 Apr 2016	2
#8DD3C7	20	8	Friday 01 Apr 2016	1	Friday 01 Apr 2016	Friday 01 Apr 2016	2
#8DD3C7	21	7	Friday 01 Apr 2016	1	Friday 01 Apr 2016	Friday 01 Apr 2016	2
#8DD3C7	22	6	Friday 01 Apr 2016	1	Friday 01 Apr 2016	Friday 01 Apr 2016	2
#8DD3C7	23	5	Friday 01 Apr 2016	1	Friday 01 Apr 2016	Friday 01 Apr 2016	2
#8DD3C7	1	5	Friday 01 Dec 2017	2	Friday 01 Dec 2017	Friday 01 Dec 2017	2
#8DD3C7	1	4.88888888888889	Friday 01 Dec 2017	2	Friday 01 Dec 2017	Friday 01 Dec 2017	2
#8DD3C7	2	5.11111111111111	Friday 01 Dec 2017	2	Friday 01 Dec 2017	Friday 01 Dec 2017	2
#8DD3C7	3	5	Friday 01 Dec 2017	2	Friday 01 Dec 2017	Friday 01 Dec 2017	2
#8DD3C7	4	4.44444444444444	Friday 01 Dec 2017	2	Friday 01 Dec 2017	Friday 01 Dec 2017	2
#8DD3C7	4	4.5	Friday 01 Dec 2017	2	Friday 01 Dec 2017	Friday 01 Dec 2017	2
#8DD3C7	5	4.22222222222222	Friday 01 Dec 2017	2	Friday 01 Dec 2017	Friday 01 Dec 2017	2
#8DD3C7	6	3.88888888888889	Friday 01 Dec 2017	2	Friday 01 Dec 2017	Friday 01 Dec 2017	2
#8DD3C7	7	3.88888888888889	Friday 01 Dec 2017	2	Friday 01 Dec 2017	Friday 01 Dec 2017	2
#8DD3C7	7	3.72222222222222	Friday 01 Dec 2017	2	Friday 01 Dec 2017	Friday 01 Dec 2017	2
#8DD3C7	8	3.5	Friday 01 Dec 2017	2	Friday 01 Dec 2017	Friday 01 Dec 2017	2
#8DD3C7	9	2.5	Friday 01 Dec 2017	2	Friday 01 Dec 2017	Friday 01 Dec 2017	2
#8DD3C7	10	3.33333333333333	Friday 01 Dec 2017	2	Friday 01 Dec 2017	Friday 01 Dec 2017	2
#8DD3C7	10	3.38888888888889	Friday 01 Dec 2017	2	Friday 01 Dec 2017	Friday 01 Dec 2017	2
#8DD3C7	11	3.61111111111111	Friday 01 Dec 2017	2	Friday 01 Dec 2017	Friday 01 Dec 2017	2
#8DD3C7	13	3.33333333333333	Friday 01 Dec 2017	2	Friday 01 Dec 2017	Friday 01 Dec 2017	2
#8DD3C7	13	3.38888888888889	Friday 01 Dec 2017	2	Friday 01 Dec 2017	Friday 01 Dec 2017	2
#8DD3C7	15	3.11111111111111	Friday 01 Dec 2017	2	Friday 01 Dec 2017	Friday 01 Dec 2017	2
#8DD3C7	16	2.22222222222222	Friday 01 Dec 2017	2	Friday 01 Dec 2017	Friday 01 Dec 2017	2
#8DD3C7	16	2.5	Friday 01 Dec 2017	2	Friday 01 Dec 2017	Friday 01 Dec 2017	2
#8DD3C7	17	2.27777777777778	Friday 01 Dec 2017	2	Friday 01 Dec 2017	Friday 01 Dec 2017	2
#8DD3C7	18	2	Friday 01 Dec 2017	2	Friday 01 Dec 2017	Friday 01 Dec 2017	2
#8DD3C7	19	1.66666666666667	Friday 01 Dec 2017	2	Friday 01 Dec 2017	Friday 01 Dec 2017	2
#8DD3C7	21	1.22222222222222	Friday 01 Dec 2017	2	Friday 01 Dec 2017	Friday 01 Dec 2017	2
#8DD3C7	22	1.11111111111111	Friday 01 Dec 2017	2	Friday 01 Dec 2017	Friday 01 Dec 2017	2
#8DD3C7	23	1.22222222222222	Friday 01 Dec 2017	2	Friday 01 Dec 2017	Friday 01 Dec 2017	2
#8DD3C7	0	-1	Friday 01 Jan 2016	3	Friday 01 Jan 2016	Friday 01 Jan 2016	2
#8DD3C7	1	-1.66666666666667	Friday 01 Jan 2016	3	Friday 01 Jan 2016	Friday 01 Jan 2016	2
#8DD3C7	1	-1	Friday 01 Jan 2016	3	Friday 01 Jan 2016	Friday 01 Jan 2016	2
#8DD3C7	1	-2	Friday 01 Jan 2016	3	Friday 01 Jan 2016	Friday 01 Jan 2016	2
#8DD3C7	1	-2	Friday 01 Jan 2016	3	Friday 01 Jan 2016	Friday 01 Jan 2016	2
#8DD3C7	2	-2	Friday 01 Jan 2016	3	Friday 01 Jan 2016	Friday 01 Jan 2016	2
#8DD3C7	3	-2	Friday 01 Jan 2016	3	Friday 01 Jan 2016	Friday 01 Jan 2016	2
#8DD3C7	4	-2	Friday 01 Jan 2016	3	Friday 01 Jan 2016	Friday 01 Jan 2016	2
#8DD3C7	5	-3	Friday 01 Jan 2016	3	Friday 01 Jan 2016	Friday 01 Jan 2016	2
#8DD3C7	5	-3	Friday 01 Jan 2016	3	Friday 01 Jan 2016	Friday 01 Jan 2016	2
#8DD3C7	6	-4	Friday 01 Jan 2016	3	Friday 01 Jan 2016	Friday 01 Jan 2016	2
