fill	xmin	xmax	ymin	ymax	showSelectedlegendfill	PANEL
#666666	1449464400	1449550800	22.4124137931035	22.9205701754386	sensor work day	1
#666666	1449550800	1449637200	21.9403448275862	22.3384913793103	sensor work day	1
#666666	1449637200	1449723600	22.600350877193	23.2783620689655	sensor work day	1
#666666	1449723600	1449810000	22.7121052631579	23.0839035087719	sensor work day	1
#999999	1449810000	1449896400	22.3955172413793	22.5121256805808	sensor day off	1
#999999	1449896400	1449982800	22.1251724137931	22.5208333333333	sensor day off	1
#666666	1449982800	1450069200	22.7841379310345	23.2026240169389	sensor work day	1
#666666	1450069200	1450155600	22.0998275862069	22.8499826073805	sensor work day	1
#666666	1450155600	1450242000	22.48	23.2466810344828	sensor work day	1
#666666	1450242000	1450328400	22.6182051282051	23.0417922929561	sensor work day	1
#666666	1450328400	1450414800	21.75	22.63955625	sensor work day	1
#999999	1450414800	1450501200	21.99	22.0168070414316	sensor day off	1
#999999	1450501200	1450587600	21.99	22.27443882626	sensor day off	1
#999999	1450587600	1450674000	22.4750505050505	22.9836914508759	sensor day off	1
#999999	1450674000	1450760400	22.49	22.7966094212514	sensor day off	1
#999999	1450760400	1450846800	21.0390291262136	22.4147767857143	sensor day off	1
#999999	1450846800	1450933200	21.0830693069307	21.6372704081633	sensor day off	1
#999999	1450933200	1451019600	20.4726126126126	20.6527407862408	sensor day off	1
#999999	1451019600	1451106000	20.5636274509804	21.3552506265664	sensor day off	1
#999999	1451106000	1451192400	20.3349074074074	20.564849137931	sensor day off	1
#999999	1451192400	1451278800	20.4259292035398	20.6042895308065	sensor day off	1
#999999	1451278800	1451365200	20.4891666666667	20.53	sensor day off	1
#999999	1451365200	1451451600	20.5253333333333	20.53	sensor day off	1
#999999	1451451600	1451538000	20.1230508474576	20.50170185564	sensor day off	1
#999999	1451538000	1451624400	20.3820754716981	20.53	sensor day off	1
#999999	1451624400	1451710800	20.1517543859649	20.53	sensor day off	1
#999999	1451710800	1451797200	20.285	20.5585129310345	sensor day off	1
