fill	x	y	showSelectedlegendfill	PANEL
#666666	1449507600	23.4811947973382	sensor work day	1
#666666	1449594000	23.2322670901391	sensor work day	1
#666666	1449680400	23.6615728977616	sensor work day	1
#666666	1449766800	23.6374137931035	sensor work day	1
#999999	1449853200	23.4943859649123	sensor day off	1
#999999	1449939600	23.3955263157895	sensor day off	1
#666666	1450026000	23.8993103448276	sensor work day	1
#666666	1450112400	23.335350877193	sensor work day	1
#666666	1450198800	23.8124561403509	sensor work day	1
#666666	1450285200	23.2530172413793	sensor work day	1
#666666	1450371600	23.3490170940171	sensor work day	1
#999999	1450458000	22.2916501976285	sensor day off	1
#999999	1450544400	23.2945175438597	sensor day off	1
#999999	1450630800	23.4367672413793	sensor day off	1
#999999	1450717200	23.2774056603774	sensor day off	1
#999999	1450803600	23.1507404129794	sensor day off	1
#999999	1450890000	22.6762019230769	sensor day off	1
#999999	1450976400	21.3937440366972	sensor day off	1
#999999	1451062800	22.2857894736842	sensor day off	1
#999999	1451149200	21.7949541284404	sensor day off	1
#999999	1451235600	21.2686434511435	sensor day off	1
#999999	1451322000	20.9071905901116	sensor day off	1
#999999	1451408400	20.7519187554019	sensor day off	1
#999999	1451494800	21.0216109000584	sensor day off	1
#999999	1451581200	21.0701869652985	sensor day off	1
#999999	1451667600	22.2303967391304	sensor day off	1
#999999	1451754000	22.3125492539476	sensor day off	1
#666666	1451840400	22.4989370251315	sensor work day	1
#666666	1451926800	23.5995207910751	sensor work day	1
#666666	1452013200	23.4672058823529	sensor work day	1
#666666	1452099600	23.7549607843137	sensor work day	1
#666666	1452186000	23.95	sensor work day	1
#999999	1452272400	23.7122058823529	sensor day off	1
#999999	1452358800	22.7474662162162	sensor day off	1
#666666	1452445200	23.4136486486487	sensor work day	1
#666666	1452531600	23.5059375	sensor work day	1
#666666	1452618000	23.6374137931035	sensor work day	1
#666666	1452704400	23.3826315789474	sensor work day	1
#666666	1452790800	23.1720175438597	sensor work day	1
#999999	1452877200	22.4419827586207	sensor day off	1
#999999	1452963600	22.1015426497278	sensor day off	1
#666666	1453050000	23.1896551724138	sensor work day	1
#666666	1453136400	23.9668965517241	sensor work day	1
#666666	1453222800	23.8950120992136	sensor work day	1
#666666	1453309200	23.455775862069	sensor work day	1
#666666	1453395600	23.2656896551724	sensor work day	1
#999999	1453482000	22.7980701754386	sensor day off	1
#999999	1453568400	22.6580066545675	sensor day off	1
#666666	1453654800	23.464224137931	sensor work day	1
#666666	1453741200	23.0847928009679	sensor work day	1
#666666	1453827600	23.9288052026618	sensor work day	1
#666666	1453914000	23.703369630974	sensor work day	1
#666666	1454000400	24.0983635813672	sensor work day	1
#999999	1454086800	23.8339473684211	sensor day off	1
#999999	1454173200	24.4520054446461	sensor day off	1
#666666	1454259600	23.9628947368421	sensor work day	1
#666666	1454346000	24.2055973986691	sensor work day	1
#666666	1454432400	24.2822247428917	sensor work day	1
#666666	1454518800	24.1759543254688	sensor work day	1
#666666	1454605200	23.9671929824561	sensor work day	1
#999999	1454691600	23.5275862068966	sensor day off	1
#999999	1454778000	23.2321929824561	sensor day off	1
#666666	1454864400	23.7307894736842	sensor work day	1
#666666	1454950800	23.3797413793103	sensor work day	1
#666666	1455037200	23.8124561403509	sensor work day	1
#666666	1455123600	23.3157864488808	sensor work day	1
#666666	1455210000	23.95	sensor work day	1
#999999	1455296400	23.9585964912281	sensor day off	1
#999999	1455382800	24.3085329703569	sensor day off	1
#666666	1455469200	24.5087719298246	sensor work day	1
#666666	1455555600	24.3500332728373	sensor work day	1
#666666	1455642000	24.6681034482759	sensor work day	1
#666666	1455728400	24.0988823351482	sensor work day	1
#666666	1455814800	24.7236842105263	sensor work day	1
#999999	1455901200	23.0375862068966	sensor day off	1
#999999	1455987600	24.0187719298246	sensor day off	1
#666666	1456074000	24.7193859649123	sensor work day	1
#666666	1456160400	24.4484482758621	sensor work day	1
#666666	1456246800	23.9688822575892	sensor work day	1
#666666	1456333200	23.4579237288136	sensor work day	1
#666666	1456419600	24.4209913793103	sensor work day	1
#999999	1456506000	23.4937931034483	sensor day off	1
#999999	1456592400	22.97	sensor day off	1
#666666	1456678800	23.7430172413793	sensor work day	1
#666666	1456765200	23.9183189655172	sensor work day	1
#666666	1456851600	23.8669130434783	sensor work day	1
#666666	1456938000	24.3504779189353	sensor work day	1
#666666	1457024400	24.0492672413793	sensor work day	1
#999999	1457110800	23.5513006654567	sensor day off	1
#999999	1457197200	24.0453002248876	sensor day off	1
#666666	1457283600	24.0777986993345	sensor work day	1
#666666	1457370000	24.2199001814882	sensor work day	1
#666666	1457456400	23.8305428112215	sensor work day	1
#666666	1457542800	23.9880172413793	sensor work day	1
#666666	1457629200	24.1932584694495	sensor work day	1
#999999	1457715600	23.3353879310345	sensor day off	1
#999999	1457802000	22.97	sensor day off	1
#666666	1457888400	23.6202311212815	sensor work day	1
#666666	1457974800	23.9754182908546	sensor work day	1
#666666	1458061200	23.82453569268	sensor work day	1
#666666	1458147600	23.7866666666667	sensor work day	1
