fill	x	ymin	ymax	showSelectedlegendfill	PANEL	group	colour
#8DD3C7	1449421200	-1	0.999999999999998	Wunderground	2	1	#8DD3C7
#8DD3C7	1449507600	0	0.999999999999998	Wunderground	2	1	#8DD3C7
#8DD3C7	1449594000	0	0.999999999999998	Wunderground	2	1	#8DD3C7
#8DD3C7	1449680400	5	6	Wunderground	2	1	#8DD3C7
#8DD3C7	1449766800	7	8	Wunderground	2	1	#8DD3C7
#8DD3C7	1449853200	4	5.75	Wunderground	2	1	#8DD3C7
#8DD3C7	1449939600	0	0.999999999999998	Wunderground	2	1	#8DD3C7
#8DD3C7	1450026000	0.999999999999998	1.83333333333333	Wunderground	2	1	#8DD3C7
#8DD3C7	1450112400	2	3	Wunderground	2	1	#8DD3C7
#8DD3C7	1450198800	0	0.416666666666667	Wunderground	2	1	#8DD3C7
#8DD3C7	1450285200	-1	2	Wunderground	2	1	#8DD3C7
#8DD3C7	1450371600	0.999999999999998	2.11111111111111	Wunderground	2	1	#8DD3C7
#8DD3C7	1450458000	-4	-1	Wunderground	2	1	#8DD3C7
#8DD3C7	1450544400	-6	-5	Wunderground	2	1	#8DD3C7
#8DD3C7	1450630800	-1	0.25	Wunderground	2	1	#8DD3C7
#8DD3C7	1450717200	0.999999999999998	0.999999999999998	Wunderground	2	1	#8DD3C7
#8DD3C7	1450803600	1.66666666666667	3	Wunderground	2	1	#8DD3C7
#8DD3C7	1450890000	7	10.6666666666667	Wunderground	2	1	#8DD3C7
#8DD3C7	1450976400	2	4.33333333333333	Wunderground	2	1	#8DD3C7
#8DD3C7	1451062800	-2	0.138888888888889	Wunderground	2	1	#8DD3C7
#8DD3C7	1451149200	-3	-1	Wunderground	2	1	#8DD3C7
#8DD3C7	1451235600	-11	-10	Wunderground	2	1	#8DD3C7
#8DD3C7	1451322000	-12	-11	Wunderground	2	1	#8DD3C7
#8DD3C7	1451408400	-9	-9	Wunderground	2	1	#8DD3C7
#8DD3C7	1451494800	-5	-4	Wunderground	2	1	#8DD3C7
#8DD3C7	1451581200	-4	-2	Wunderground	2	1	#8DD3C7
#8DD3C7	1451667600	-4	-3	Wunderground	2	1	#8DD3C7
#8DD3C7	1451754000	-12	-1	Wunderground	2	1	#8DD3C7
#8DD3C7	1451840400	-19	-17.25	Wunderground	2	1	#8DD3C7
#8DD3C7	1451926800	-21	-19	Wunderground	2	1	#8DD3C7
#8DD3C7	1452013200	-10	-8	Wunderground	2	1	#8DD3C7
#8DD3C7	1452099600	-8	-6	Wunderground	2	1	#8DD3C7
#8DD3C7	1452186000	-7.22222222222222	-6.25	Wunderground	2	1	#8DD3C7
#8DD3C7	1452272400	0.999999999999998	3	Wunderground	2	1	#8DD3C7
#8DD3C7	1452358800	0	3	Wunderground	2	1	#8DD3C7
#8DD3C7	1452445200	-11	-9.44444444444444	Wunderground	2	1	#8DD3C7
