colour	x	y	showSelected1	PANEL	group
#8DD3C7	1449421200	2	Wunderground	2	1
#8DD3C7	1449507600	2	Wunderground	2	1
#8DD3C7	1449594000	4.5	Wunderground	2	1
#8DD3C7	1449680400	7	Wunderground	2	1
#8DD3C7	1449766800	9	Wunderground	2	1
#8DD3C7	1449853200	8	Wunderground	2	1
#8DD3C7	1449939600	2	Wunderground	2	1
#8DD3C7	1450026000	2	Wunderground	2	1
#8DD3C7	1450112400	3	Wunderground	2	1
#8DD3C7	1450198800	0.999999999999998	Wunderground	2	1
#8DD3C7	1450285200	7	Wunderground	2	1
#8DD3C7	1450371600	3	Wunderground	2	1
#8DD3C7	1450458000	0	Wunderground	2	1
#8DD3C7	1450544400	-4	Wunderground	2	1
#8DD3C7	1450630800	2	Wunderground	2	1
#8DD3C7	1450717200	2	Wunderground	2	1
#8DD3C7	1450803600	3.94444444444445	Wunderground	2	1
#8DD3C7	1450890000	11	Wunderground	2	1
#8DD3C7	1450976400	5	Wunderground	2	1
#8DD3C7	1451062800	2	Wunderground	2	1
#8DD3C7	1451149200	-1	Wunderground	2	1
#8DD3C7	1451235600	-10	Wunderground	2	1
#8DD3C7	1451322000	-9	Wunderground	2	1
#8DD3C7	1451408400	-7	Wunderground	2	1
#8DD3C7	1451494800	-2.5	Wunderground	2	1
#8DD3C7	1451581200	-1.66666666666667	Wunderground	2	1
#8DD3C7	1451667600	-1	Wunderground	2	1
#8DD3C7	1451754000	0	Wunderground	2	1
#8DD3C7	1451840400	-15	Wunderground	2	1
#8DD3C7	1451926800	-14	Wunderground	2	1
#8DD3C7	1452013200	-6	Wunderground	2	1
#8DD3C7	1452099600	-4.5	Wunderground	2	1
#8DD3C7	1452186000	-3	Wunderground	2	1
#8DD3C7	1452272400	3	Wunderground	2	1
#8DD3C7	1452358800	4	Wunderground	2	1
#8DD3C7	1452445200	-8	Wunderground	2	1
#8DD3C7	1452531600	-5	Wunderground	2	1
#8DD3C7	1452618000	-8	Wunderground	2	1
#8DD3C7	1452704400	-11	Wunderground	2	1
#8DD3C7	1452790800	-11	Wunderground	2	1
#8DD3C7	1452877200	-4	Wunderground	2	1
#8DD3C7	1452963600	-7	Wunderground	2	1
#8DD3C7	1453050000	-9	Wunderground	2	1
#8DD3C7	1453136400	-15	Wunderground	2	1
#8DD3C7	1453222800	-9	Wunderground	2	1
#8DD3C7	1453309200	-9.72222222222222	Wunderground	2	1
#8DD3C7	1453395600	-7.38888888888889	Wunderground	2	1
#8DD3C7	1453482000	-11	Wunderground	2	1
#8DD3C7	1453568400	-8	Wunderground	2	1
#8DD3C7	1453654800	-4	Wunderground	2	1
#8DD3C7	1453741200	0	Wunderground	2	1
#8DD3C7	1453827600	-5	Wunderground	2	1
#8DD3C7	1453914000	-2	Wunderground	2	1
#8DD3C7	1454000400	0	Wunderground	2	1
#8DD3C7	1454086800	-6	Wunderground	2	1
#8DD3C7	1454173200	2	Wunderground	2	1
#8DD3C7	1454259600	4	Wunderground	2	1
#8DD3C7	1454346000	-3	Wunderground	2	1
#8DD3C7	1454432400	1	Wunderground	2	1
#8DD3C7	1454518800	4	Wunderground	2	1
#8DD3C7	1454605200	-4	Wunderground	2	1
#8DD3C7	1454691600	-2	Wunderground	2	1
#8DD3C7	1454778000	-5	Wunderground	2	1
