xmin	xmax	clickSelects	PANEL	group
1449378000	1449464400	Monday 07 Dec 2015	1	150
1449464400	1449550800	Tuesday 08 Dec 2015	1	647
1449550800	1449637200	Wednesday 09 Dec 2015	1	775
1449637200	1449723600	Thursday 10 Dec 2015	1	532
1449723600	1449810000	Friday 11 Dec 2015	1	44
1449810000	1449896400	Saturday 12 Dec 2015	1	294
1449896400	1449982800	Sunday 13 Dec 2015	1	421
1449982800	1450069200	Monday 14 Dec 2015	1	179
1450069200	1450155600	Tuesday 15 Dec 2015	1	676
1450155600	1450242000	Wednesday 16 Dec 2015	1	804
1450242000	1450328400	Thursday 17 Dec 2015	1	561
1450328400	1450414800	Friday 18 Dec 2015	1	73
1450414800	1450501200	Saturday 19 Dec 2015	1	323
1450501200	1450587600	Sunday 20 Dec 2015	1	450
1450587600	1450674000	Monday 21 Dec 2015	1	208
1450674000	1450760400	Tuesday 22 Dec 2015	1	705
1450760400	1450846800	Wednesday 23 Dec 2015	1	833
1450846800	1450933200	Thursday 24 Dec 2015	1	590
1450933200	1451019600	Friday 25 Dec 2015	1	101
1451019600	1451106000	Saturday 26 Dec 2015	1	351
1451106000	1451192400	Sunday 27 Dec 2015	1	478
1451192400	1451278800	Monday 28 Dec 2015	1	236
1451278800	1451365200	Tuesday 29 Dec 2015	1	733
1451365200	1451451600	Wednesday 30 Dec 2015	1	860
1451451600	1451538000	Thursday 31 Dec 2015	1	616
1451538000	1451624400	Friday 01 Jan 2016	1	3
1451624400	1451710800	Saturday 02 Jan 2016	1	253
1451710800	1451797200	Sunday 03 Jan 2016	1	380
1451797200	1451883600	Monday 04 Jan 2016	1	137
1451883600	1451970000	Tuesday 05 Jan 2016	1	634
1451970000	1452056400	Wednesday 06 Jan 2016	1	762
1452056400	1452142800	Thursday 07 Jan 2016	1	519
1452142800	1452229200	Friday 08 Jan 2016	1	31
1452229200	1452315600	Saturday 09 Jan 2016	1	281
1452315600	1452402000	Sunday 10 Jan 2016	1	408
1452402000	1452488400	Monday 11 Jan 2016	1	166
1452488400	1452574800	Tuesday 12 Jan 2016	1	663
1452574800	1452661200	Wednesday 13 Jan 2016	1	791
1452661200	1452747600	Thursday 14 Jan 2016	1	548
1452747600	1452834000	Friday 15 Jan 2016	1	60
1452834000	1452920400	Saturday 16 Jan 2016	1	310
1452920400	1453006800	Sunday 17 Jan 2016	1	437
1453006800	1453093200	Monday 18 Jan 2016	1	195
1453093200	1453179600	Tuesday 19 Jan 2016	1	692
1453179600	1453266000	Wednesday 20 Jan 2016	1	820
1453266000	1453352400	Thursday 21 Jan 2016	1	577
1453352400	1453438800	Friday 22 Jan 2016	1	88
1453438800	1453525200	Saturday 23 Jan 2016	1	338
